0	239	1	291	100	269	240	285	294	138	157	251	118	211	178	243	127	191	165	273	
289	0	194	120	233	221	199	1	297	206	233	168	292	191	158	208	196	151	161	107	
159	145	0	234	109	157	280	228	187	115	104	147	125	239	248	200	286	161	291	1	
214	234	133	0	260	121	188	227	206	1	294	211	152	221	298	251	264	203	220	149	
150	164	129	112	0	283	189	114	106	277	260	156	233	112	242	277	145	210	1	228	
207	130	217	269	100	0	150	208	185	286	273	277	118	256	245	112	296	1	154	177	
299	171	147	151	188	210	0	297	170	235	157	1	170	111	136	232	185	102	175	249	
219	239	247	1	222	142	230	0	156	156	251	299	220	213	240	280	134	250	237	132	
186	276	226	269	157	195	120	298	0	116	274	268	175	131	168	1	154	200	226	161	
154	184	171	160	239	245	1	133	188	0	108	113	221	185	183	291	174	157	147	241	
157	1	248	274	188	280	200	107	100	298	0	190	229	194	248	197	162	145	233	218	
182	237	227	247	178	151	158	244	1	250	266	0	172	177	192	120	193	292	185	150	
133	193	210	252	1	250	294	228	286	172	284	247	0	157	106	268	265	195	247	183	
1	166	168	282	183	275	175	198	165	164	292	240	134	0	214	142	184	268	230	247	
152	147	192	118	235	163	244	246	191	227	1	268	184	231	0	183	278	227	208	125	
190	211	202	116	214	164	243	119	141	290	286	279	1	196	207	0	247	299	251	274	
178	270	105	276	105	270	256	267	229	209	224	266	117	147	1	196	0	293	285	257	
257	195	131	196	174	207	254	263	167	166	168	152	208	1	247	158	209	0	227	216	
153	239	195	149	277	1	176	233	138	262	243	271	140	100	111	147	297	151	0	112	
200	172	252	266	249	278	232	123	275	219	252	278	287	232	247	165	1	247	173	0	
