0	874	772	533	588	810	677	648	892	681	1	723	571	658	613	522	635	870	611	901	704	722	698	787	922	633	740	834	781	611	598	961	916	
1	0	907	791	538	844	797	971	808	766	886	665	611	588	709	957	791	786	700	918	835	827	665	702	972	996	997	797	663	935	697	919	562	
739	657	0	699	615	621	807	951	520	629	533	638	1	755	771	846	696	759	779	511	534	504	512	704	831	630	674	809	832	889	845	889	926	
867	576	562	0	558	955	596	911	800	616	810	882	917	812	769	993	689	931	727	1	599	910	716	748	620	671	800	514	706	620	570	542	701	
679	789	727	817	0	841	623	744	1	516	638	742	830	525	563	569	798	780	851	977	520	856	895	675	714	735	908	596	767	920	640	830	858	
730	872	841	666	820	0	721	1	673	693	641	696	999	594	563	791	513	988	962	766	927	862	599	828	878	546	539	632	893	925	788	979	502	
926	589	806	835	611	648	0	889	956	875	547	998	588	690	1	599	519	653	789	536	739	681	700	629	671	536	836	844	894	753	873	631	840	
578	767	929	627	603	714	728	0	713	845	555	994	978	769	706	868	1	976	680	586	824	504	764	992	606	685	825	538	528	893	607	906	937	
541	639	963	586	502	686	727	678	0	641	663	578	531	999	636	571	522	685	830	751	961	772	745	589	875	760	883	581	905	715	607	706	1	
809	969	750	899	751	509	868	611	889	0	637	617	708	502	522	932	898	684	565	705	772	776	1	829	732	891	886	917	780	666	967	533	851	
696	941	720	772	835	534	949	907	599	801	0	1	841	907	551	918	767	689	695	752	692	772	604	860	992	868	638	983	896	583	853	807	739	
875	686	615	552	777	741	934	803	813	1	729	0	994	732	923	934	808	899	617	998	821	777	545	702	985	953	919	945	951	701	721	845	738	
539	630	925	607	626	566	745	978	753	871	718	544	0	828	511	756	630	844	506	764	615	870	515	846	728	852	604	609	616	1	554	847	720	
982	859	717	641	505	738	816	701	857	757	637	897	980	0	590	647	988	814	788	923	746	536	910	985	944	1	738	770	779	941	771	977	868	
653	1	652	850	726	663	755	539	686	948	876	822	987	972	0	740	899	883	941	826	510	622	644	614	569	503	957	664	752	500	819	506	542	
528	690	716	798	1	864	639	705	724	943	638	972	654	765	890	0	914	989	918	609	663	725	987	562	688	659	844	791	638	887	515	571	848	
542	581	878	649	708	974	644	651	871	837	599	513	651	662	983	1	0	833	711	696	933	579	874	985	857	686	733	647	763	516	589	768	543	
817	853	555	639	605	979	502	816	895	845	772	606	937	1	581	807	728	0	844	955	720	955	681	546	971	560	658	592	722	855	916	620	901	
972	915	774	904	716	774	868	720	591	504	711	544	505	541	916	720	936	628	0	538	1	938	777	622	855	836	648	643	643	819	552	944	942	
734	603	727	880	757	755	551	616	773	854	934	677	682	935	781	701	514	916	742	0	773	671	509	761	800	660	611	771	1	720	918	767	930	
865	864	962	783	729	943	595	668	983	635	788	807	913	785	644	631	949	784	866	943	0	731	697	1	587	706	962	740	515	911	625	758	543	
831	900	503	605	551	869	1	803	599	802	661	616	600	802	929	730	767	972	854	514	564	0	766	971	787	924	503	578	586	595	549	709	756	
933	745	571	818	500	1	720	797	635	832	869	570	558	774	983	617	543	679	746	886	761	894	0	513	549	540	884	845	831	873	603	528	847	
919	904	1	819	879	583	821	863	996	585	712	539	592	510	967	517	809	787	562	972	791	943	539	0	945	535	769	777	510	860	509	526	604	
697	945	768	986	676	892	780	637	895	941	675	969	589	901	580	985	740	874	662	998	769	693	675	610	0	585	1	691	536	856	557	828	628	
539	771	878	1	640	971	958	910	950	771	680	843	522	783	783	726	677	869	835	553	676	834	593	616	802	0	516	817	831	754	783	665	726	
733	879	894	533	766	580	642	875	702	685	845	560	730	529	744	727	725	995	695	845	987	504	803	840	854	544	0	1	900	625	609	850	635	
727	621	964	794	707	524	574	943	970	661	749	654	905	561	671	837	682	886	832	631	786	602	807	950	733	901	806	0	983	586	773	1	759	
869	713	877	737	754	993	779	987	720	960	536	672	804	625	775	603	613	716	873	725	682	505	773	705	1	887	548	697	0	988	962	636	677	
898	659	887	984	784	641	872	562	863	625	534	698	566	977	548	518	690	1	946	705	666	620	679	801	911	609	564	908	851	0	685	516	969	
664	842	928	849	515	984	950	941	734	946	575	984	764	807	616	617	933	584	767	781	835	1	663	659	879	904	548	765	548	648	0	715	753	
609	815	723	689	862	977	989	592	751	529	964	829	853	761	693	577	854	993	973	719	644	974	993	735	657	505	514	997	562	573	1	0	938	
930	734	636	881	870	831	597	798	624	575	792	963	649	534	828	629	573	879	1	629	913	930	758	720	811	981	788	918	518	776	818	614	0	
