0	53	82	72	68	55	58	98	51	73	71	96	71	56	77	8	51	72	60	58	
72	0	67	70	89	55	96	72	6	55	71	55	87	57	66	92	75	53	62	94	
4	76	0	99	85	71	87	93	77	86	94	97	62	97	53	72	51	57	68	97	
56	57	86	0	90	72	59	89	72	51	87	50	55	8	92	92	63	76	53	73	
66	99	74	71	0	80	58	5	50	64	77	63	83	71	99	60	51	70	56	55	
84	52	85	63	74	0	72	68	76	68	81	81	60	74	75	72	9	66	85	95	
55	57	78	50	96	55	0	56	96	54	89	50	67	51	67	65	94	99	6	61	
58	78	89	71	98	72	96	0	98	98	67	90	59	53	78	86	74	2	75	84	
52	84	60	52	63	98	4	57	0	57	62	65	89	95	52	58	96	82	80	69	
93	62	96	80	67	85	72	63	57	0	62	98	56	62	3	79	98	78	93	61	
59	56	89	97	71	82	62	98	60	63	0	8	73	52	65	59	74	78	58	67	
54	7	72	80	84	70	57	97	52	99	87	0	68	90	93	71	56	81	82	86	
90	51	85	91	90	52	50	66	54	52	8	58	0	73	85	59	78	65	92	54	
89	52	52	65	98	2	98	77	77	86	54	60	88	0	67	75	71	69	82	64	
66	85	89	61	5	67	64	95	75	91	90	98	54	87	0	96	53	58	85	59	
77	97	81	5	92	93	62	53	50	71	72	74	56	53	88	0	78	51	63	56	
83	60	93	99	79	62	85	73	87	1	61	97	87	57	53	62	0	92	75	76	
68	56	81	53	71	78	70	84	58	96	68	54	4	75	58	68	64	0	98	71	
65	52	91	74	77	57	68	76	87	67	56	63	72	78	85	64	52	68	0	8	
77	51	3	65	92	90	60	76	85	54	76	69	94	87	63	87	77	67	91	0	
