0	10079	10002	1	10074	10057	10120	10072	10129	10049	
1	0	10041	10124	10172	10193	10123	10026	10064	10072	
10110	10117	0	10124	10023	1	10053	10122	10152	10002	
10107	10113	1	0	10113	10001	10187	10187	10194	10196	
10119	10147	10080	10107	0	10132	10156	10072	1	10028	
10157	10169	10079	10016	1	0	10079	10125	10014	10188	
10004	10015	10115	10133	10068	10188	0	10142	10032	1	
10040	1	10157	10189	10036	10169	10067	0	10001	10100	
10169	10118	10195	10126	10139	10102	1	10098	0	10054	
10196	10161	10085	10180	10024	10093	10168	1	10021	0	
