0	10079	10002	10074	1	10057	10120	10072	10129	10049	
10041	0	1	10124	10172	10193	10123	10026	10064	10072	
10110	10117	0	10124	10023	10053	1	10122	10152	10002	
10107	10113	10113	0	1	10001	10187	10187	10194	10196	
10119	10147	10080	10107	0	10132	10156	10072	10028	1	
10157	10169	10079	10016	10079	0	1	10125	10014	10188	
1	10015	10115	10133	10068	10188	0	10142	10032	10004	
10040	10157	1	10189	10036	10169	10067	0	10001	10100	
10169	10118	10195	10126	10139	10102	10098	1	0	10054	
10196	10161	10085	10180	10024	10093	10168	10021	1	0	
